,Docket,Term,Circuit,Issue,Petitioner,Respondent,LowerCourt,Unconst,Reverse
58,98-1109,1999,7th,JudicialPower,OTHER,BUSINESS,liberal,0,0
59,98-1152,1999,4th,EconomicActivity,OTHER,BUSINESS,conser,0,1
60,99-579,1999,7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
61,00-276,2000,6th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
62,00-347,2000,10th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
63,99-1257,2000,DC,EconomicActivity,OTHER,BUSINESS,conser,0,1
64,99-1551,2000,4th,JudicialPower,OTHER,BUSINESS,conser,0,1
65,99-1815,2000,6th,JudicialPower,OTHER,BUSINESS,conser,0,1
66,99-1871,2000,9th,Privacy,OTHER,BUSINESS,conser,0,0
67,99-901,2000,6th,JudicialPower,OTHER,BUSINESS,conser,0,1
68,00-1307,2001,4th,CivilRights,OTHER,BUSINESS,conser,0,1
69,00-927,2001,5th,Unions,OTHER,BUSINESS,conser,0,1
70,95-1918,1996,8th,JudicialPower,STATE,BUSINESS,liberal,0,1
71,93-723,1994,9th,JudicialPower,US,BUSINESS,liberal,0,0
72,94-251,1994,9th,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,1
73,94-1893,1995,4th,FirstAmendment,US,BUSINESS,liberal,0,1
74,95-865,1995,FED,JudicialPower,US,BUSINESS,liberal,0,0
75,97-454,1997,6th,EconomicActivity,US,BUSINESS,conser,0,1
76,97-2044,1998,FED,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,1
77,98-131,1998,DC,EconomicActivity,US,BUSINESS,conser,0,0
78,98-1682,1999,3rd,EconomicActivity,US,BUSINESS,liberal,0,0
79,00-151,2000,9th,CriminalProcedure,US,BUSINESS,liberal,0,1
80,99-1434,2000,FED,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,0
81,95-191,1995,7th,FirstAmendment,BUSINESS,CITY,conser,1,1
82,99-1680,2000,FED,FirstAmendment,BUSINESS,CITY,conser,1,0
83,00-1249,2001,7th,FirstAmendment,BUSINESS,CITY,conser,1,0
84,95-897,1996,8th,Unions,EMPLOYEE,CITY,conser,0,0
85,96-957,1997,11th,DueProcess,INJURED.PERSON,CITY,conser,0,1
86,97-501,1997,7th,CriminalProcedure,INJURED.PERSON,CITY,conser,1,0
87,94-1988,1996,1st,FederalismAndInterstateRelations,OTHER,CITY,conser,1,1
88,99-936,2000,4th,CriminalProcedure,OTHER,CITY,conser,1,1
89,94-1614,1995,2nd,JudicialPower,STATE,CITY,liberal,0,1
90,00-860,2001,2nd,JudicialPower,BUSINESS,CRIMINAL.DEFENDENT,liberal,0,0
91,97-1121,1998,7th,DueProcess,CITY,CRIMINAL.DEFENDENT,liberal,0,0
92,96-318,1996,6th,EconomicActivity,EMPLOYEE,CRIMINAL.DEFENDENT,liberal,0,0
93,95-1352,1996,9th,DueProcess,GOVERNMENT.OFFICIAL,CRIMINAL.DEFENDENT,liberal,0,1
94,93-1462,1994,9th,CriminalProcedure,OTHER,CRIMINAL.DEFENDENT,liberal,0,0
95,94-790,1994,3rd,CriminalProcedure,OTHER,CRIMINAL.DEFENDENT,liberal,0,0
96,96-1693,1997,8th,CriminalProcedure,OTHER,CRIMINAL.DEFENDENT,liberal,0,0
97,96-1769,1997,6th,DueProcess,OTHER,CRIMINAL.DEFENDENT,conser,0,0
98,97-634,1997,3rd,DueProcess,OTHER,CRIMINAL.DEFENDENT,liberal,1,0
99,00-853,2001,2nd,DueProcess,OTHER,CRIMINAL.DEFENDENT,liberal,0,1
100,93-1660,1994,9th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
101,93-1911,1994,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,0
102,94-1511,1995,9th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
103,95-566,1995,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,0
104,95-1268,1996,4th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
105,95-891,1996,6th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
106,97-215,1997,9th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
107,97-300,1997,9th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
108,97-391,1997,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,1,1
109,97-1147,1998,8th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
110,97-2048,1998,7th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
111,98-184,1998,10th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,1,0
112,98-223,1998,11th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
113,98-1036,1999,7th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
114,98-1037,1999,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,0
115,98-1170,1999,2nd,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,1
116,98-1299,1999,2nd,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,1
117,98-1441,1999,9th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
118,98-1993,1999,11th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
119,98-2060,1999,6th,CivilRights,STATE,CRIMINAL.DEFENDENT,liberal,0,0
120,99--224,1999,7th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
121,99-137,1999,11th,FirstAmendment,STATE,CRIMINAL.DEFENDENT,liberal,0,0
122,00-121,2000,2nd,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,1
123,00-391,2000,11th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,conser,0,1
124,00-492,2000,11th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
125,99-1132,2000,7th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
126,99-1238,2000,2nd,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
127,99-1613,2000,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,1
128,99-1702,2000,5th,CivilRights,STATE,CRIMINAL.DEFENDENT,liberal,0,0
129,99-1884,2000,3rd,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
130,93-1340,1994,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
131,93-981,1994,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
132,94-514,1994,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
133,95-157,1995,9th,JudicialPower,US,CRIMINAL.DEFENDENT,liberal,0,0
134,95-345,1995,6th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
135,95-1228,1996,8th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
136,95-1605,1996,10th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
137,95-1726,1996,1st,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
138,96-667,1996,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
139,96-1469,1997,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
140,96-1487,1997,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
141,97-643,1997,8th,JudicialPower,US,CRIMINAL.DEFENDENT,liberal,0,0
142,97-1139,1998,3rd,JudicialPower,US,CRIMINAL.DEFENDENT,conser,0,0
143,98-1255,1999,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
144,98-1696,1999,6th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
145,99-166,1999,DC,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
146,00-1519,2001,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
147,00-973,2001,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
148,94-325,1994,2nd,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
149,Jun-95,1995,7th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,1
150,95-1340,1996,9th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,1
151,96-272,1996,9th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
152,96-320,1996,2nd,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
153,97-1868,1998,9th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
154,97-2000,1998,3rd,JudicialPower,BUSINESS,EMPLOYEE,liberal,0,0
155,00-1089,2001,6th,CivilRights,BUSINESS,EMPLOYEE,liberal,0,1
156,99-1786,2001,9th,JudicialPower,BUSINESS,EMPLOYEE,conser,0,1
157,93-2068,1994,DC,CriminalProcedure,CRIMINAL.DEFENDENT,EMPLOYEE,conser,0,1
158,94-820,1994,9th,JudicialPower,EMPLOYER,EMPLOYEE,liberal,0,0
159,94-834,1994,3rd,FederalismAndInterstateRelations,EMPLOYER,EMPLOYEE,conser,0,0
160,94-1453,1995,4th,EconomicActivity,EMPLOYER,EMPLOYEE,liberal,0,0
161,94-1471,1995,8th,EconomicActivity,EMPLOYER,EMPLOYEE,liberal,0,0
162,95-809,1995,9th,EconomicActivity,EMPLOYER,EMPLOYEE,liberal,0,1
163,95-1621,1996,9th,JudicialPower,EMPLOYER,EMPLOYEE,liberal,0,0
164,96-188,1997,11th,JudicialPower,EMPLOYER,EMPLOYEE,conser,0,1
165,97-569,1997,7th,CivilRights,EMPLOYER,EMPLOYEE,liberal,0,0
166,98-591,1998,9th,CivilRights,EMPLOYER,EMPLOYEE,liberal,0,0
167,99-1379,2000,9th,Unions,EMPLOYER,EMPLOYEE,liberal,0,0
168,94-167,1994,4th,EconomicActivity,INJURED.PERSON,EMPLOYEE,conser,0,1
169,95-266,1995,7th,JudicialPower,INJURED.PERSON,EMPLOYEE,liberal,0,0
170,96-1395,1997,FED,DueProcess,OTHER,EMPLOYEE,liberal,0,1
171,97-428,1997,DC,Unions,OTHER,EMPLOYEE,conser,0,1
172,98-238,1998,7th,CivilRights,OTHER,EMPLOYEE,conser,0,1
173,00-549,2000,2nd,EconomicActivity,OTHER,EMPLOYEE,conser,0,0
174,00-758,2001,FED,DueProcess,OTHER,EMPLOYEE,liberal,0,1
175,96-651,1996,3rd,Unions,STATE,EMPLOYEE,liberal,0,1
176,93-1543,1994,6th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
177,95-354,1995,4th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
178,95-388,1995,DC,Unions,EMPLOYEE,EMPLOYER,conser,0,1
179,95-1376,1996,4th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
180,95-259,1996,7th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
181,96-1291,1997,5th,Unions,EMPLOYEE,EMPLOYER,conser,0,1
182,96-568,1997,5th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
183,97-282,1997,11th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
184,97-689,1997,8th,EconomicActivity,EMPLOYEE,EMPLOYER,conser,0,1
185,97-1472,1998,11th,JudicialPower,EMPLOYEE,EMPLOYER,conser,0,1
186,97-1992,1998,10th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
187,99-536,1999,5th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
188,00-6029,2001,8th,Unions,EMPLOYEE,EMPLOYER,liberal,0,0
189,93-1783,1994,4th,JudicialPower,OTHER,EMPLOYER,conser,0,0
190,93-768,1994,7th,Unions,OTHER,EMPLOYER,conser,0,0
191,94-947,1995,8th,Unions,OTHER,EMPLOYER,conser,0,1
192,95-340,1995,8th,Unions,OTHER,EMPLOYER,conser,0,1
193,96-370,1997,9th,EconomicActivity,OTHER,EMPLOYER,conser,0,1
194,97-1008,1998,5th,CivilRights,OTHER,EMPLOYER,conser,0,1
195,99-1823,2001,4th,Unions,OTHER,EMPLOYER,conser,0,1
196,95-325,1995,10th,FederalTaxation,US,EMPLOYER,conser,0,1
197,Jun-98,1998,9th,CivilRights,BUSINESS,AMERICAN.INDIAN,liberal,0,1
198,98-830,1998,10th,CivilRights,BUSINESS,AMERICAN.INDIAN,liberal,0,1
199,00-292,2000,10th,EconomicActivity,BUSINESS,AMERICAN.INDIAN,liberal,0,1
200,94-771,1994,10th,CivilRights,OTHER,AMERICAN.INDIAN,liberal,0,0
201,95-1595,1996,9th,CivilRights,OTHER,AMERICAN.INDIAN,conser,0,1
202,97-174,1997,8th,CivilRights,OTHER,AMERICAN.INDIAN,liberal,0,1
203,00-454,2000,10th,CivilRights,OTHER,AMERICAN.INDIAN,liberal,0,1
204,94-1474,1996,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,0
205,96-1577,1997,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
206,96-1581,1997,8th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
207,96-1829,1997,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
208,97-1337,1998,8th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,0
209,99-1994,2000,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
210,94-286,1994,11th,FederalismAndInterstateRelations,BUSINESS,INJURED.PERSON,conser,0,0
211,94-1387,1995,3rd,FederalismAndInterstateRelations,BUSINESS,INJURED.PERSON,liberal,0,0
212,95-754,1995,11th,FederalismAndInterstateRelations,BUSINESS,INJURED.PERSON,liberal,0,0
213,95-1263,1996,6th,JudicialPower,BUSINESS,INJURED.PERSON,conser,0,1
214,97-1709,1998,11th,JudicialPower,BUSINESS,INJURED.PERSON,conser,0,1
215,97-475,1998,2nd,JudicialPower,BUSINESS,INJURED.PERSON,liberal,0,0
216,99-312,1999,6th,EconomicActivity,BUSINESS,INJURED.PERSON,liberal,0,0
217,00-346,2000,4th,JudicialPower,BUSINESS,INJURED.PERSON,liberal,0,0
218,98-1768,2000,3rd,EconomicActivity,BUSINESS,INJURED.PERSON,liberal,0,0
219,93-1504,1994,5th,JudicialPower,OTHER,INJURED.PERSON,liberal,0,0
220,Mar-94,1994,6th,CriminalProcedure,OTHER,INJURED.PERSON,conser,1,1
221,95-1100,1996,5th,EconomicActivity,OTHER,INJURED.PERSON,liberal,0,0
222,96-1337,1997,9th,DueProcess,OTHER,INJURED.PERSON,liberal,0,1
223,95-1853,1996,8th,JudicialPower,POLITICIAN,INJURED.PERSON,liberal,1,0
224,94-1837,1995,11th,EconomicActivity,BUSINESS,GOVERNMENT.OFFICIAL,conser,0,1
225,95-1232,1996,6th,FederalismAndInterstateRelations,BUSINESS,GOVERNMENT.OFFICIAL,liberal,1,1
226,00-596,2000,1st,FirstAmendment,BUSINESS,GOVERNMENT.OFFICIAL,conser,1,0
227,00-6374,2000,6th,JudicialPower,CRIMINAL.DEFENDENT,GOVERNMENT.OFFICIAL,conser,0,1
228,94-1239,1995,4th,FederalismAndInterstateRelations,GOVERNMENT.OFFICIAL,GOVERNMENT.OFFICIAL,liberal,1,1
229,98-1648,1999,5th,FirstAmendment,GOVERNMENT.OFFICIAL,GOVERNMENT.OFFICIAL,liberal,0,0
230,93-823,1994,8th,EconomicActivity,OTHER,GOVERNMENT.OFFICIAL,liberal,0,1
231,93-908,1994,11th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,0
232,94-500,1994,5th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,1
233,94-1785,1995,4th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,0
234,95-1402,1996,11th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,0
235,96-552,1996,2nd,FirstAmendment,OTHER,GOVERNMENT.OFFICIAL,liberal,0,0
236,97-1927,1998,9th,CriminalProcedure,OTHER,GOVERNMENT.OFFICIAL,liberal,0,0
237,98-83,1998,4th,CriminalProcedure,OTHER,GOVERNMENT.OFFICIAL,conser,0,1
238,98-1464,1999,4th,FederalismAndInterstateRelations,OTHER,GOVERNMENT.OFFICIAL,conser,0,1
239,94-923,1995,4th,JudicialPower,POLITICIAN,GOVERNMENT.OFFICIAL,liberal,0,0
240,95-1425,1996,11th,JudicialPower,POLITICIAN,GOVERNMENT.OFFICIAL,conser,0,1
241,96-126,1996,11th,Privacy,POLITICIAN,GOVERNMENT.OFFICIAL,conser,1,1
242,99-401,1999,9th,FirstAmendment,POLITICIAN,GOVERNMENT.OFFICIAL,conser,1,0
243,94-395,1994,9th,FederalismAndInterstateRelations,US,GOVERNMENT.OFFICIAL,conser,0,0
244,95-1225,1996,9th,FederalTaxation,US,GOVERNMENT.OFFICIAL,conser,0,1
245,96-1613,1997,3rd,FederalTaxation,US,GOVERNMENT.OFFICIAL,conser,0,0
246,97-372,1997,FED,FederalTaxation,US,GOVERNMENT.OFFICIAL,conser,0,0
247,00-203,2000,6th,EconomicActivity,US,GOVERNMENT.OFFICIAL,conser,0,1
248,93-1286,1994,7th,EconomicActivity,BUSINESS,OTHER,conser,0,0
249,93-1841,1994,10th,CivilRights,BUSINESS,OTHER,liberal,1,0
250,94-226,1994,11th,Attorneys,BUSINESS,OTHER,liberal,0,0
251,94-560,1994,3rd,EconomicActivity,BUSINESS,OTHER,liberal,0,0
252,94-562,1994,5th,JudicialPower,BUSINESS,OTHER,liberal,0,0
253,94-688,1994,10th,JudicialPower,BUSINESS,OTHER,conser,0,0
254,94-1340,1995,4th,EconomicActivity,BUSINESS,OTHER,liberal,0,1
255,94-1809,1995,9th,JudicialPower,BUSINESS,OTHER,liberal,0,0
256,94-896,1995,11th,FederalismAndInterstateRelations,BUSINESS,OTHER,liberal,1,1
257,95-124,1995,DC,FirstAmendment,BUSINESS,OTHER,conser,1,0
258,95-210,1995,4th,Unions,BUSINESS,OTHER,liberal,0,0
259,95-1181,1996,2nd,EconomicActivity,BUSINESS,OTHER,liberal,0,1
260,95-928,1996,3rd,EconomicActivity,BUSINESS,OTHER,liberal,0,0
261,95-992,1996,DC,FirstAmendment,BUSINESS,OTHER,conser,1,0
262,96-663,1996,8th,JudicialPower,BUSINESS,OTHER,conser,0,0
263,96-1375,1997,8th,JudicialPower,BUSINESS,OTHER,conser,0,0
264,96-1482,1997,9th,CriminalProcedure,BUSINESS,OTHER,liberal,0,1
265,96-643,1997,7th,JudicialPower,BUSINESS,OTHER,liberal,0,1
266,97-42,1997,1st,DueProcess,BUSINESS,OTHER,liberal,1,0
267,97-1489,1998,6th,JudicialPower,BUSINESS,OTHER,conser,0,0
268,97-303,1998,9th,EconomicActivity,BUSINESS,OTHER,liberal,0,0
269,98-149,1998,3rd,JudicialPower,BUSINESS,OTHER,conser,0,1
270,98-84,1998,3rd,CivilRights,BUSINESS,OTHER,liberal,0,1
271,98-1949,1999,7th,EconomicActivity,BUSINESS,OTHER,liberal,0,1
272,98-1991,1999,10th,EconomicActivity,BUSINESS,OTHER,liberal,0,0
273,99-409,1999,8th,JudicialPower,BUSINESS,OTHER,liberal,1,0
274,99-699,1999,3rd,FirstAmendment,BUSINESS,OTHER,liberal,1,0
275,00-24,2000,9th,CivilRights,BUSINESS,OTHER,liberal,0,0
276,99-1848,2000,4th,Attorneys,BUSINESS,OTHER,conser,0,1
277,00-730,2001,10th,JudicialPower,BUSINESS,OTHER,conser,0,0
278,94-23,1994,9th,JudicialPower,CITY,OTHER,liberal,0,0
279,94-780,1994,6th,FirstAmendment,CITY,OTHER,conser,1,1
280,95-2074,1996,5th,JudicialPower,CITY,OTHER,liberal,1,1
281,96-910,1997,7th,JudicialPower,CITY,OTHER,conser,0,0
282,97-1230,1998,9th,CriminalProcedure,CITY,OTHER,conser,0,1
283,97-1235,1998,9th,DueProcess,CITY,OTHER,conser,0,0
284,98-1288,1999,7th,JudicialPower,CITY,OTHER,liberal,0,0
285,98-678,1999,9th,FirstAmendment,CITY,OTHER,liberal,0,0
286,99-1030,2000,7th,CriminalProcedure,CITY,OTHER,liberal,0,0
287,99-1178,2000,7th,FederalismAndInterstateRelations,CITY,OTHER,liberal,0,0
288,96-542,1996,11th,CivilRights,CRIMINAL.DEFENDENT,OTHER,conser,0,1
289,98-7809,1999,9th,DueProcess,CRIMINAL.DEFENDENT,OTHER,conser,1,0
290,93-1197,1994,3rd,EconomicActivity,EMPLOYEE,OTHER,conser,0,1
291,94-455,1994,7th,CriminalProcedure,EMPLOYEE,OTHER,conser,0,0
292,97-1056,1998,9th,Unions,EMPLOYEE,OTHER,liberal,0,0
293,97-889,1998,4th,Unions,EMPLOYEE,OTHER,conser,0,1
294,98-1167,1999,5th,Unions,EMPLOYEE,OTHER,conser,0,1
295,98-791,1999,11th,CivilRights,EMPLOYEE,OTHER,conser,1,1
296,99-1687,2000,3rd,CriminalProcedure,EMPLOYEE,OTHER,liberal,0,0
297,00-1072,2001,4th,JudicialPower,EMPLOYEE,OTHER,conser,0,1
298,93-1935,1994,3rd,JudicialPower,EMPLOYER,OTHER,liberal,0,1
299,95-668,1995,1st,Unions,EMPLOYER,OTHER,liberal,0,0
300,95-1081,1996,5th,EconomicActivity,EMPLOYER,OTHER,liberal,0,0
301,96-795,1997,DC,Unions,EMPLOYER,OTHER,liberal,0,0
302,97-463,1997,3rd,Unions,EMPLOYER,OTHER,liberal,0,1
303,97-1287,1998,9th,EconomicActivity,EMPLOYER,OTHER,liberal,0,1
304,99-1038,2000,4th,Unions,EMPLOYER,OTHER,liberal,0,0
305,96-1037,1997,10th,CivilRights,AMERICAN.INDIAN,OTHER,conser,1,0
306,97-115,1997,8th,EconomicActivity,INJURED.PERSON,OTHER,liberal,0,0
307,95-386,1995,11th,DueProcess,GOVERNMENT.OFFICIAL,OTHER,conser,1,1
308,95-1441,1996,9th,EconomicActivity,GOVERNMENT.OFFICIAL,OTHER,liberal,1,1
309,95-1594,1996,2nd,EconomicActivity,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
310,96-292,1996,9th,CriminalProcedure,GOVERNMENT.OFFICIAL,OTHER,conser,0,0
311,96-1569,1997,1st,EconomicActivity,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
312,96-792,1997,9th,CriminalProcedure,GOVERNMENT.OFFICIAL,OTHER,liberal,0,0
313,97-147,1997,3rd,FederalTaxation,GOVERNMENT.OFFICIAL,OTHER,liberal,0,0
314,97-1802,1998,9th,Privacy,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
315,98-347,1998,FED,JudicialPower,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
316,98-536,1998,11th,CivilRights,GOVERNMENT.OFFICIAL,OTHER,liberal,1,0
